judul,deskripsi,kategori_gangguan,kategori_pelanggan,waktu_lapor,prioritas
Koneksi tidak stabil,Loading aplikasi lama,Gangguan Sistem,UMKM,2025-10-24 07:44:00,Sedang
Request akses,Request akses user baru,Pertanyaan Teknis,Rumah,2025-11-11 07:44:00,Rendah
Pertanyaan setting,Request akses user baru,Pertanyaan Teknis,UMKM,2025-11-04 07:44:00,Rendah
Koneksi terputus,Sudah 5 jam tidak bisa akses,Gangguan Jaringan,UMKM,2025-10-30 07:44:00,Tinggi
Server down urgent,Sudah 10 jam tidak bisa akses,Gangguan Jaringan,UMKM,2025-10-31 07:44:00,Tinggi
Request akses,Bisa bantu ganti password?,Gangguan Sistem,Perusahaan,2025-11-06 07:44:00,Rendah
Koneksi tidak stabil,Internet agak lambat,Request Layanan,Rumah,2025-10-13 07:44:00,Sedang
Sistem error darurat,Koneksi putus terus,Gangguan Jaringan,Rumah,2025-10-21 07:44:00,Tinggi
Pertanyaan setting,Mau tanya cara setting,Request Layanan,Perusahaan,2025-10-06 07:44:00,Rendah
Koneksi terputus,Koneksi putus terus,Gangguan Sistem,Rumah,2025-09-27 07:44:00,Tinggi
Loading lama,Internet agak lambat,Gangguan Jaringan,Perusahaan,2025-11-20 07:44:00,Sedang
Info layanan,Mau tanya cara setting,Gangguan Bandwidth,Perusahaan,2025-10-31 07:44:00,Rendah
Database tidak bisa diakses,Koneksi putus terus,Gangguan Jaringan,Perusahaan,2025-10-18 07:44:00,Tinggi
Request akses,Mau tanya cara setting,Gangguan Sistem,Perusahaan,2025-10-14 07:44:00,Rendah
Pertanyaan setting,Bisa bantu ganti password?,Gangguan Jaringan,UMKM,2025-11-02 07:44:00,Rendah
Request akses,Mohon info upgrade paket,Gangguan Jaringan,Rumah,2025-10-28 07:44:00,Rendah
Internet mati total,Sistem error sejak pagi,Gangguan Sistem,Perusahaan,2025-10-06 07:44:00,Tinggi
Server down urgent,Sistem error sejak pagi,Gangguan Sistem,Perusahaan,2025-11-11 07:44:00,Tinggi
Upload gagal,Internet agak lambat,Gangguan Jaringan,UMKM,2025-10-22 07:44:00,Sedang
Internet lambat,Loading aplikasi lama,Request Layanan,Perusahaan,2025-10-04 07:44:00,Sedang
Upload gagal,Koneksi sering terputus,Gangguan Sistem,Perusahaan,2025-11-13 07:44:00,Sedang
Cara ganti password,Mohon info upgrade paket,Request Layanan,UMKM,2025-11-16 07:44:00,Rendah
Cara ganti password,Request akses user baru,Gangguan Jaringan,Perusahaan,2025-11-16 07:44:00,Rendah
Pertanyaan setting,Mohon info upgrade paket,Gangguan Sistem,Rumah,2025-10-25 07:44:00,Rendah
Server down urgent,Error terus muncul,Gangguan Sistem,UMKM,2025-10-27 07:44:00,Tinggi
Sistem error darurat,Koneksi putus terus,Gangguan Sistem,Perusahaan,2025-10-17 07:44:00,Tinggi
Sering terputus,Koneksi sering terputus,Gangguan Sistem,UMKM,2025-11-25 07:44:00,Sedang
Koneksi terputus,Sistem error sejak pagi,Gangguan Sistem,Perusahaan,2025-11-09 07:44:00,Tinggi
Internet lambat,Koneksi tidak stabil,Gangguan Jaringan,UMKM,2025-10-15 07:44:00,Sedang
Cara ganti password,Bisa bantu ganti password?,Gangguan Bandwidth,Perusahaan,2025-10-15 07:44:00,Rendah
Database tidak bisa diakses,Sistem error sejak pagi,Gangguan Jaringan,Perusahaan,2025-11-11 07:44:00,Tinggi
Sistem error darurat,Sistem error sejak pagi,Gangguan Sistem,Perusahaan,2025-10-29 07:44:00,Tinggi
Pertanyaan setting,Mau tanya cara setting,Request Layanan,Rumah,2025-11-26 07:44:00,Rendah
Konsultasi,Mau tanya cara setting,Gangguan Bandwidth,Rumah,2025-11-04 07:44:00,Rendah
Request akses,Bisa bantu ganti password?,Gangguan Bandwidth,Rumah,2025-10-13 07:44:00,Rendah
Koneksi tidak stabil,Koneksi sering terputus,Gangguan Bandwidth,Perusahaan,2025-10-20 07:44:00,Sedang
Sering terputus,Upload file gagal,Gangguan Jaringan,Rumah,2025-10-24 07:44:00,Sedang
Sering terputus,Internet agak lambat,Gangguan Jaringan,Rumah,2025-10-28 07:44:00,Sedang
Info layanan,Mau tanya cara setting,Gangguan Jaringan,UMKM,2025-10-12 07:44:00,Rendah
Request akses,Bisa bantu ganti password?,Gangguan Bandwidth,Perusahaan,2025-11-13 07:44:00,Rendah
Internet mati total,Server down semua user tidak bisa akses,Gangguan Sistem,UMKM,2025-10-06 07:44:00,Tinggi
Upload gagal,Upload file gagal,Request Layanan,Rumah,2025-10-28 07:44:00,Sedang
Loading lama,Koneksi tidak stabil,Gangguan Bandwidth,Rumah,2025-11-14 07:44:00,Sedang
Cara ganti password,Request akses user baru,Pertanyaan Teknis,Perusahaan,2025-11-20 07:44:00,Rendah
Upload gagal,Upload file gagal,Gangguan Jaringan,Rumah,2025-10-31 07:44:00,Sedang
Upload gagal,Koneksi tidak stabil,Gangguan Jaringan,UMKM,2025-11-03 07:44:00,Sedang
Server down urgent,Server down semua user tidak bisa akses,Gangguan Sistem,UMKM,2025-10-31 07:44:00,Tinggi
Upload gagal,Loading aplikasi lama,Gangguan Jaringan,UMKM,2025-11-19 07:44:00,Sedang
Sering terputus,Internet agak lambat,Request Layanan,Perusahaan,2025-10-30 07:44:00,Sedang
Cara ganti password,Mohon info upgrade paket,Gangguan Bandwidth,Rumah,2025-10-24 07:44:00,Rendah
Request akses,Request akses user baru,Request Layanan,Perusahaan,2025-11-01 07:44:00,Rendah
Koneksi terputus,Sudah 2 jam tidak bisa akses,Gangguan Sistem,Perusahaan,2025-10-15 07:44:00,Tinggi
Sering terputus,Loading aplikasi lama,Request Layanan,Perusahaan,2025-11-22 07:44:00,Sedang
Upload gagal,Upload file gagal,Gangguan Sistem,Rumah,2025-11-18 07:44:00,Sedang
Server down urgent,Server down semua user tidak bisa akses,Gangguan Sistem,UMKM,2025-10-15 07:44:00,Tinggi
Internet mati total,Server down semua user tidak bisa akses,Gangguan Jaringan,UMKM,2025-11-26 07:44:00,Tinggi
Request akses,Mau konsultasi fitur,Request Layanan,Perusahaan,2025-11-07 07:44:00,Rendah
Konsultasi,Mau tanya cara setting,Request Layanan,Perusahaan,2025-10-25 07:44:00,Rendah
Koneksi tidak stabil,Koneksi tidak stabil,Gangguan Bandwidth,UMKM,2025-10-29 07:44:00,Sedang
Upload gagal,Koneksi tidak stabil,Pertanyaan Teknis,Rumah,2025-11-02 07:44:00,Sedang
Request akses,Mohon info upgrade paket,Pertanyaan Teknis,Rumah,2025-10-08 07:44:00,Rendah
Loading lama,Upload file gagal,Gangguan Jaringan,Rumah,2025-11-01 07:44:00,Sedang
